축제명,축제유형,개최기간,개최장소,개최방식,담당자,연락처
제35회 회다지민속문화제,전통역사,4월중,정금민속관일원,대면,김병호,033-340-5952
제5회 태종노구문화제,전통역사,10월중,각림복지회관일원,대면,김병호,033-340-5952
제2회 소(牛)맥 프리미엄 페스티벌,기타(체육 등),8월중,베이스볼파크 일원,대면,김병호,033-340-5952
단종문화제,전통역사,04.26.~04.28.,"장릉, 동강둔치 외",혼합형,김민지,033-370-2829
동강국제사진제,문화예술,07.12.~09.29.,동강사진박물관,혼합형,정순우,033-370-2457
동강뗏목축제,문화예술,08.02.~08.04.,동강둔치,혼합형,김정희,033-370-2763
김삿갓문화제,전통역사,10.11.~10.13.,김삿갓문학관,혼합형,김민지,033-370-2829
제16회 평창송어축제,특산물,`24.12.27.~`25.2.2.,진부면 오대천 일원,대면,심광찬,033-330-2466
제30회 대관령눈꽃축제,생태자연,01.27.~02.11.,대관령면 송천 일원,대면,전현우,033-330-2712
2024 계촌클래식축제,문화예술,05.15.~05.19.,방림면 계촌리 일원,대면,전현우,033-330-2712
2024 평창더위사냥축제,생태자연,07.26.~08.04.,대화면 땀띠공원 일원,대면,심광찬,033-330-2466
2024 평창효석문화제,문화예술,09.06.~09.18.,봉평면 효석문화마을 일원,대면,심광찬,033-330-2466
2024 평창농악축제,전통역사,09.13.~09.18.,용평면 갈정지길 일원,대면,전현우,033-330-2712
2024 평창백일홍축제,생태자연,09.13.~09.22.,평창읍 제방길 일원,대면,심광찬,033-330-2466
제18회 정선 동강할미꽃 축제,생태자연,03.29.~03.31.,정선읍 귤암리 동강할미꽃 서식지 일원,대면,김니은,033-560-2605
함백산야생화축제,생태자연,07.29~08.06.,고한읍 만항재 일원,대면,박은정,033-560-2822
제28회 사북석탄문화제,문화예술,07.25.~07.28.,사북읍,대면,이균,033-560-2625
제33회 사북읍민의 날,기타(주민화합),10.18.,사북읍,대면,이균,033-560-2625
두위봉 철쭉축제,생태자연,6월중,방제리 단곡계곡,대면,나지혜,033-560-2635
고성산성문화제,전통역사,10월말,고성2리 고방정,대면,나지혜,033-560-2635
제32회 화암약수제,기타(주민화합 등),04.26.~04.27.,화암시가지일원,대면,신연길,033-560-2795
민둥산은빛억새축제,생태자연,09.20.~11.03.,민둥산일원,대면,민지현,033-560-2796
제32회 아우라지뗏목축제,문화예술,08.02.~08.4.,아우라지광장,대면,정의성,033-560-2665
2024 정선토속음식 축제,기타,4월중,북평면 나전역 일원,대면,전종택,033-560-2675
"벚꽃축제
(맹글장 ""벚꽃한입 세상으로"")",생태자연,4월중,북평면 남평리 남평강변로 일원,대면,전종택,033-560-2675
항골 숨바우길 트레킹 대회,기타,10월중,북평면 항골계곡 일원,대면,전종택,033-560-2675
나전역 어게인 1979(가칭),기타,10월중,북평면 나전역앞 시장골목길,대면,전종택,033-560-2675
제49회 정선아리랑제,전통역사,10.02.~10.05.,정선 공설운동장,대면,김영원,033-560-2548
제13회 철원 한탄강 얼음트레킹 축제,생태자연,25.01월초,철원 한탄강 물윗길 트레킹 코스 일원,대면,한진수,033-450-4778
제18회 철원 화강 다슬기 축제,생태자연,08.01.~08.04.,화강쉬리공원 및 김화생활체육공원 일원,대면,한진수,033-450-4778
제42회 태봉제,기타,10.03.~10.05.,철원종합운동장 일원,대면,한진수,033-450-4778
제19회 산천어축제,문화예술,01.06.~01.28.,화천군 화천천 일원,대면,이창수,033-440-2542
제20회 화천토마토축제,특산물,08.01.~08.04.,화천군 사내면 사창리 일원,대면,이다혜,033-440-2912
2024 청춘양구 곰취축제,특산물,05.03.~05.06.,양구읍서천레포츠공원,대면,류진성,033-482-9173
2024 도솔산지구전투전승행사,전통역사,06.14.~06.15.,양구종합운동장 일원,대면,백영기,033-482-9171
2024 국토정중앙 청춘양구 배꼽축제,문화예술,08.30.~09.01.,양구읍서천레포츠공원,대면,류진성,033-482-9173
제39회 양록제,기타,10.10.~10.12.,양구종합운동장 일원,대면,백영기,033-482-9171
2024 청춘양구 펀치볼 시래기 사과 축제,특산물,10.26.~10.27.,해안면 성황지 일원,대면,류진성,033-482-9173
국토정중앙 양구 보름달축제,문화예술,09.16.~09.17.,국토정중앙천문대 일원,대면,배태석,033-480-7255
제6회 인제가을꽃축제,생태자연,10월중,북면 용대관광지 일원,대면,김유나,033-460-2082
제24회 용대황태축제,지역특산물,5월중,북면 용대삼거리 일원,대면,김유나,033-460-2082
제42회 합강문화제,문화예술,10월중,인제군 일원,대면,이희성,033-460-2081
2024 봉포리 죽도 하트썸 축제,기타(주민화합),7월중,해풍공원 일원,대면,정래민,033-680-4092
삼포해변 서핑축제,기타(체험행사),7월중,삼포해변,대면,정래민,033-680-4092
해안선 레저스포츠 페스티벌,기타(체험행사),8월중,봉수대 해수욕장,대면,정래민,033-680-4092
제42회 군민의 날 및 수성문화제,전통역사,9월중,고성종합운동장 일원,대면,최정규,033-680-3593
제24회 고성통일명태축제,전통역사,10월 중,거진11리 해변,대면,김효섭,033-680-3362
아기연어 보내기 체험행사,생태자연,3~4월 중,양양 남대천,대면,이로즈마리,033-671-3803
양양송이연어축제,"특산물, 생태자연",9~10월 중,양양 남대천,대면,이로즈마리,033-671-3803
