구분,화장실명,소재지도로명주소,소재지지번주소,전화번호,개방시간상세
개방화장실,해공도서관 화장실,서울특별시 강동구 올림픽로 702,서울특별시 강동구 천호동 360,02-440-0585,09:00~18:00
개방화장실,강일도서관 화장실,서울특별시 강동구 아리수로 93길 9-14,서울특별시 강동구 강일동 678,02-440-0585,09:00~18:00
개방화장실,신세계 이마트 명일점 공중화장실,서울특별시 강동구 고덕로 276,서울특별시 강동구 명일동 46-4,02-2145-1234,10:00~22:00
개방화장실,신세계 이마트 천호지점 화장실,서울특별시 강동구 천호대로 1017,서울특별시 강동구 천호동 454-1,02-2224-1234,10:00~22:00
개방화장실,현대백화점 천호지점,서울특별시 강동구 천호대로 1005,서울특별시 강동구 천호동 572,02-2225-8761,10:30~20:00
개방화장실,이천일아울렛,서울특별시 강동구 구천면로 189,서울특별시 강동구 천호동 563,02-2224-6606,10:30~21:00
개방화장실,하나로마트 성내점,서울특별시 강동구 올림픽로 528,서울특별시 강동구 성내동 451,02-2224-8120,09:00~21:00
개방화장실,천호역,서울특별시 강동구 천호동 455,서울특별시 강동구 천호동 455,02-6311-5471,05:00~24:00
개방화장실,강동역,서울특별시 강동구 천호동 447,서울특별시 강동구 천호동 447,02-6311-5481,05:00~24:00
개방화장실,길동역,서울특별시 강동구 길동 378,서울특별시 강동구 길동 378,02-6311-5491,05:00~24:00
개방화장실,굽은다리역,서울특별시 강동구 명일동 345-12,서울특별시 강동구 명일동 345-12,02-6311-5501,05:00~24:00
개방화장실,명일역,서울특별시 강동구 명일동 312,서울특별시 강동구 명일동 312,02-6311-5511,05:00~24:00
개방화장실,고덕역,서울특별시 강동구 고덕동 310,서울특별시 강동구 고덕동 310,02-6311-5521,05:00~24:00
개방화장실,상일동역,서울특별시 강동구 상일동 148,서울특별시 강동구 상일동 148,02-6311-5531,05:00~24:00
개방화장실,강일역,서울특별시 강동구 강일동 산22-14,서울특별시 강동구 강일동 산22-14,02-6311-5631,05:00~24:00
개방화장실,둔촌동역,서울특별시 강동구 둔촌동 416,서울특별시 강동구 둔촌동 416,02-6311-5541,05:00~24:00
개방화장실,암사역,서울특별시 강동구 암사동 501,서울특별시 강동구 암사동 501,02-6311-8101,05:00~24:00
개방화장실,강동구청역,서울특별시 강동구 성내동 319,서울특별시 강동구 성내동 319,02-6311-8121,05:00~24:00
개방화장실,중앙보훈병원역,서울특별시 강동구 둔촌동 6-3,서울특별시 강동구 둔촌동 6-3,02-6311-8121,05:00~24:00
공중화장실,종합청사,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,02-2627-1003,24시간
공중화장실,견인보관소,서울특별시 금천구 가산디지털2로 169-34 (가산동),서울특별시 금천구 가산동 614-34,02-854-5273,24시간
개방화장실,가산동 주민센터,서울특별시 금천구 가산로 129,서울특별시 금천구 가산동 144-3,02-2627-2501,09:00~18:00
개방화장실,독산1동 주민센터,서울특별시 금천구 시흥대로123길 11,서울특별시 금천구 독산동 289-5,02-2627-2503,09:00~18:00
개방화장실,독산1동 분소,서울특별시 금천구 한내로 69-17,서울특별시 금천구 독산동 1088-3,02-2627-2503,09:00~18:00
개방화장실,독산2동 주민센터,"서울특별시 금천구 독산로 179, 독산2동주민센터 (독산동)",서울특별시 금천구 독산동 1043-51 독산2동주민센터,02-2627-2505,09:00~18:00
개방화장실,독산3동 주민센터,서울특별시 금천구 독산로 317,서울특별시 금천구 독산동 973-17,02-2627-2507,09:00~18:00
개방화장실,독산4동 주민센터,서울특별시 금천구 독산로 232,서울특별시 금천구 독산동 1022,02-2627-2509,09:00~18:00
개방화장실,시흥1동 주민센터,서울특별시 금천구 시흥대로58길 36,서울특별시 금천구 시흥동 886-6,02-2627-2513,09:00~18:00
개방화장실,시흥2동 주민센터,서울특별시 금천구 금하로 764,서울특별시 금천구 시흥동 267-9,02-2627-2515,09:00~18:00
개방화장실,시흥3동 주민센터,서울특별시 금천구 시흥대로18길 40,서울특별시 금천구 시흥동 956-3,02-2627-2517,09:00~18:00
개방화장실,시흥4동 주민센터,서울특별시 금천구 독산로36길 14,서울특별시 금천구 시흥동 812-38,02-2627-2519,09:00~18:00
개방화장실,시흥5동 주민센터,서울특별시 금천구 금하로21길 20,서울특별시 금천구 시흥동 832-14,02-2627-2521,09:00~18:00
개방화장실,1호선 금천구청역,서울특별시 금천구 시흥대로63길 91,서울특별시 금천구 시흥동 113-55,15447788,24시간
개방화장실,1호선 독산역,서울특별시 금천구 벚꽃로 115,서울특별시 금천구 가산동 717,15447788,24시간
개방화장실,1호선 가산디지털단지역,서울특별시 금천구 벚꽃로 309,서울특별시 금천구 가산동 468-4,02-2639-3332,24시간
개방화장실,7호선가산디지털단지역,서울특별시 금천구 벚꽃로 309,서울특별시 금천구 가산동 468-4,02-2639-3332,24시간
개방화장실,가산우체국,서울특별시 금천구 남부순환로 1288,서울특별시 금천구 가산동 146-61,02-864-7143,09:00~18:00
개방화장실,구로세관,서울특별시 금천구 가산디지털1로 67,서울특별시 금천구 가산동 319-25,02-2107-2500,09:00~18:00
개방화장실,가산문화센터,서울특별시 금천구 가산디지털1로 118,서울특별시 금천구 가산동 345-58,02-868-5208,09:00~21:00
개방화장실,금천세무서,서울특별시 금천구 시흥대로152길 11-21,서울특별시 금천구 독산동 953-9,02-850-4200,09:00~18:00
개방화장실,금천우체국,"서울특별시 금천구 시흥대로 410, 서울금천우체국 (독산동)",서울특별시 금천구 독산동 286-9 서울금천우체국,02-861-4403,09:00~18:00
개방화장실,서울시흥동우체국,"서울특별시 금천구 독산로 123, 시흥본동우체국 (시흥동)",서울특별시 금천구 시흥동 852-55 시흥본동우체국,02-803-0004,06:00~21:00
개방화장실,금천노인종합복지관,서울특별시 금천구 시흥대로51길 93-32,서울특별시 금천구 시흥동 558-1,02-804-4058,09:00~18:00
개방화장실,kt 금천전화국,서울특별시 금천구 시흥대로 139,서울특별시 금천구 시흥동 985-14,080-258-1035,09:00~18:00
개방화장실,남부여성발전센터,서울특별시 금천구 독산로50길 23,서울특별시 금천구 시흥동 산139-2,02-802-0922,09:00~22:00
개방화장실,동남주유소,서울특별시 금천구 범안로 1155,서울특별시 금천구 독산동 1001-5,02-2627-1532,06:00~23:00
개방화장실,㈜태영유업,서울특별시 금천구 시흥대로 484,서울특별시 금천구 독산동 967,02-2627-1532,24시간
개방화장실,KH에너지㈜직영 시흥대로 주유소,서울특별시 금천구 시흥대로 221,서울특별시 금천구 시흥동 993,02-2627-1532,24시간
개방화장실,SK네트웍스㈜ 박미주유소,서울특별시 금천구 시흥대로 39-7,서울특별시 금천구 시흥동 980,02-2627-1532,24시간
개방화장실,일신주유소,서울특별시 금천구 시흥대로 118,서울특별시 금천구 시흥동 939-4,02-2627-1532,06:00~24:00
개방화장실,SK네트웍스㈜ 순환도로주유소,서울특별시 금천구 남부순환로 1410,서울특별시 금천구 독산동 900-4,02-2627-1532,07:00~23:00
개방화장실,백운주유소,서울특별시 금천구 시흥대로 282,서울특별시 금천구 독산동 1077-3,02-2627-1532,05:00~24:00
개방화장실,백산주유소,서울특별시 금천구 시흥대로 174,서울특별시 금천구 시흥동 904,02-2627-1532,06:00~23:00
개방화장실,주식회사 명보에너지,서울특별시 금천구 시흥대로 377,"서울특별시 금천구 독산동 292-7,12,29,39",02-2627-1532,24시간
개방화장실,SK네트웍스㈜ 이가주유소,서울특별시 금천구 시흥대로 441,서울특별시 금천구 독산동 150-6,02-2627-1532,24시간
개방화장실,동광석유㈜ 구광주유소,서울특별시 금천구 서부샛길 674,서울특별시 금천구 가산동 535-155,02-2627-1532,05:00~10:30
개방화장실,경복에너지,서울특별시 금천구 독산로 147,서울특별시 금천구 시흥동 860-36,02-2627-1532,05:00~23:00
개방화장실,대득에너지(금천셀프주유소),서울특별시 금천구 시흥대로 81,서울특별시 금천구 시흥동983-1외 2필지,02-2627-1532,24시간
개방화장실,중앙에너비스㈜ 삼중가스지점,서울특별시 금천구 시흥대로 314,서울특별시 금천구 독산동 1059,02-2627-1532,24시간
개방화장실,월계1동주민센터,서울특별시 노원구 석계로 59,서울특별시 노원구 월계동 928,02-2116-2414,09:00~18:00
개방화장실,상계1동주민센터,서울특별시 노원구 동일로1697,서울특별시 노원구 상계동 1259,02-2116-2745,09:00~18:00
개방화장실,상계6.7동 주민센터,서울특별시 노원구 노원로 429,서울특별시 노원구 상계동 722,02-2116-2852,09:00~18:00
개방화장실,상계10동주민센터,서울특별시 노원구 노원로 530,서울특별시 노원구 상계동 671,02-2116-2946,09:00~18:00
개방화장실,온수골행복발전소,서울특별시 노원구 노원로 522,서울특별시 노원구 상계동 673,02-2116-2946,09:00~18:00
개방화장실,노원평생학습관,서울특별시 노원구 동일로204길 13,서울특별시 노원구 중계동 508,02-979-0000,08:00~22:00
개방화장실,공릉종합사회복지관,서울특별시 노원구 동일로 1127,서울특별시 노원구 공릉동 708,02-948-0520,09:00~18:00
개방화장실,노원1종합사회복지관,서울특별시 노원구 월계로 372,서울특별시 노원구 월계동 321,02-949-0700,08:00~20:00
개방화장실,마들종합사회복지관,서울특별시 노원구 동일로210길 22,서울특별시 노원구 중계3동,02-971-8387,09:00~20:00
개방화장실,상계종합사회복지관,서울특별시 노원구 덕릉로115나길 25,"서울특별시 노원구 상계3,4동 101-135",02-951-9930,09:00~18:00
개방화장실,월계종합사회복지관,서울특별시 노원구 초안산로 1길51,서울특별시 노원구 월계동 511번지,02-999-4211,08:30~20:30
개방화장실,중계종합사회복지관,서울특별시 노원구 덕릉로 662,서울특별시 노원구 중계4동 358,02-2116-3655,09:00~18:00
개방화장실,북부종합사회복지관,서울특별시 노원구 동일로245길 56,서울특별시 노원구 상계1동 1257,02-2116-3653,09:00~18:00
개방화장실,평화종합사회복지관,서울특별시 노원구 노원로 331,"서울특별시 노원구 중계2,3동 514-3",02-949-0123,08:30~17:30
개방화장실,하계종합사회복지관,서울특별시 노원구 노원로16길15,서울특별시 노원구 하계동256,02-2116-3653,(평일)09:00-20:00+(토요일)09:00-15:00
개방화장실,중계2·3동주민센터,서울특별시 노원구 노원로17길 56,서울특별시 노원구 중계동 511-1,02-2116-2672,09:00~18:00
개방화장실,서울과학기술대학교 다빈치관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,02-970-6114,06:00~23:00
개방화장실,서울과학기술대학교 어의관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,02-970-6114,06:00~23:00
개방화장실,서울과학기술대학교 100주년기념관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,02-970-6114,06:00~23:00
개방화장실,서울과학기술대학교 제2학생회관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,02-970-6114,06:00~23:00
개방화장실,서울과학기술대학교 상상관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,02-970-6114,06:00~23:00
개방화장실,서울과학기술대학교 아름관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,02-970-6114,06:00~23:00
개방화장실,서울과학기술대학교 체육관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,02-970-6114,06:00~23:00
개방화장실,서울과학기술대학교 대륙관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,02-970-6114,06:00~23:00
개방화장실,서울과학기술대학교 무궁관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,02-970-6114,06:00~23:00
개방화장실,서울과학기술대학교 학군단,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,02-970-6114,06:00~23:00
개방화장실,서울과학기술대학교 미래관,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,02-970-6114,06:00~23:00
개방화장실,서울과학기술대학교 테크노큐브,서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,02-970-6114,06:00~23:00
개방화장실,서울과학기술대학교 종합스타디움(동아리관),서울특별시 노원구 공릉로 232,서울특별시 노원구 공릉동 172,02-970-6114,06:00~23:00
개방화장실,상계8동동주민센터,서울특별시 노원구 동일로227길 97,서울특별시 노원구 상계동 658,02-2116-2894,09:00~18:00
개방화장실,한내행복발전소,서울특별시 노원구 마들로3길 13,서울특별시 노원구 월계동 333-1,02-2116-0678,09:00~18:00
개방화장실,공릉행복발전소,서울특별시 노원구 동일로179길 22,서울특별시 노원구 00동 000-000,02-2116-0678,09:00~18:00
개방화장실,중계본동주민센터,서울특별시 노원구 중계로 143,서울특별시 노원구 중계동 363-4,02-2116-2614,09:00~18:00
개방화장실,상계2동주민센터,서울특별시 노원구 상계로118,서울특별시 노원구 상계동 385-1,02-2116-2772,09:00~18:00
개방화장실,원터행복발전소,서울특별시 노원구 상계로23길 17,서울특별시 노원구 상계동 389-483,02-2116-2772,09:00~18:00
공중화장실,숲속도서관 앞 화장실(배봉산),서울특별시 동대문구 사가정로 191-1,서울특별시 동대문구 전농동 산32-20,02-2127-4776,24시간 개방
간이화장실,숲속광장 화장실(배봉산),서울특별시 동대문구 사가정로 191-1,서울특별시 동대문구 전농동 산32-20,02-2127-4776,24시간 개방
간이화장실,벚나무쉼터 화장실(배봉산),서울특별시 동대문구 사가정로 191-1,서울특별시 동대문구 전농동 산32-20,02-2127-4776,24시간 개방
간이화장실,정상 화장실(배봉산),서울특별시 동대문구 사가정로 191-1,서울특별시 동대문구 전농동 산32-20,02-2127-4776,24시간 개방
간이화장실,토끼사육장 인근(배봉산),서울특별시 동대문구 사가정로 191-1,서울특별시 동대문구 전농동 산32-20,02-2127-4776,24시간 개방
간이화장실,답십리1공원 화장실,서울특별시 동대문구 답십리로 209,서울특별시 동대문구 답십리동 산 2-9,02-2127-4776,24시간 개방
공중화장실,홍릉근린공원 화장실,서울특별시 동대문구 회기로10길 78,서울특별시 동대문구 청량리동 산1-145,02-2127-4776,24시간 개방
공중화장실,용두근린공원 화장실,서울특별시 동대문구 청계천로 563,서울특별시 동대문구 용두동 34-4,02-2127-4775,24시간 개방
공중화장실,장평근린공원 화장실,서울특별시 동대문구 장안벚꽃로 67,서울특별시 동대문구 장안동 356,02-2127-4775,24시간 개방
공중화장실,장안근린공원 화장실,서울특별시 동대문구 장한로 191,서울특별시 동대문구 장안동 300,02-2127-4775,24시간 개방
공중화장실,건대입구역(2),서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),02-6110-2121,05:00~24:00
공중화장실,구의역(2),서울특별시 광진구 구의동 245-24 2호선 구의역,서울특별시 광진구 구의동 245-24 2호선 구의역,02-6110-2131,05:00~24:00
공중화장실,강변역(2),서울특별시 광진구 구의동 546-6 2호선 강변역,서울특별시 광진구 구의동 546-6 2호선 강변역,02-6110-2141,05:00~24:00
공중화장실,군자역(5),"서울특별시 광진구 능동 275-5 군자역(5, 7호선)","서울특별시 광진구 능동 275-5 군자역(5, 7호선)",02-6311-5441,05:00~24:00
공중화장실,아차산역(5),서울특별시 광진구 능동 256-16 아차산역,서울특별시 광진구 능동 256-16 아차산역,02-6311-5451,05:00~24:00
공중화장실,광나루역(5),서울특별시 광진구 광장동 237 광나루역,서울특별시 광진구 광장동 237 광나루역,02-6311-5461,05:00~24:00
간이화장실,샛별어린이공원 화장실,서울특별시 동대문구 장한로17길 20,서울특별시 동대문구 장안동 379,02-2127-4776,24시간 개방
공중화장실,중곡역(7),서울특별시 광진구 중곡동 273-2 중곡역,서울특별시 광진구 중곡동 273-2 중곡역,02-6311-7241,05:00~24:00
공중화장실,어린이대공원역(7),서울특별시 광진구 화양동 164-1 어린이대공원역,서울특별시 광진구 화양동 164-1 어린이대공원역,02-6311-7261,05:00~24:00
공중화장실,건대입구역(7),서울특별시 광진구 화양동 6-3 건대입구역(7호선),서울특별시 광진구 화양동 6-3 건대입구역(7호선),02-6311-7271,05:00~24:00
공중화장실,뚝섬유원지역(7),서울특별시 광진구 자양동 73-2 뚝섬유원지역,서울특별시 광진구 자양동 73-2 뚝섬유원지역,02-6311-7281,05:00~24:00
공중화장실,장안2제방,서울특별시 동대문구 장안벚꽃로 170,서울특별시 동대문구 장안2동 481-2,02-2127-4612,24시간 개방
공중화장실,장안교,서울특별시 동대문구 장안벚꽃로 170,서울특별시 동대문구 장안2동 481-2,02-2127-4612,24시간 개방
공중화장실,제3체육공원,서울특별시 동대문구 장안벚꽃로 279,서울특별시 동대문구 휘경2동 49-35,02-2127-4612,24시간 개방
공중화장실,제4체육공원,서울특별시 동대문구 중랑천서자전거길 903,서울특별시 동대문구 휘경동 2-4,02-2127-4612,24시간 개방
공중화장실,이문2제방,서울특별시 동대문구 한천로58길 22,서울특별시 동대문구 이문동 98-1,02-2127-4612,24시간 개방
공중화장실,회기,서울특별시 동대문구 회기로 176,서울특별시 동대문구 회기동 81,02-2127-4612,24시간 개방
공중화장실,신이문역,서울특별시 동대문구 한천로 472,서울특별시 동대문구 이문2동 217-3,02-2127-4612,24시간 개방
공중화장실,이문1마을마당,서울특별시 동대문구 신이문로12길 4,서울특별시 동대문구 이문동 357-3,02-2127-4612,24시간 개방
공중화장실,신이문역4번출입구,서울특별시 동대문구 신이문로12길 73,서울특별시 동대문구 이문동 360-4,02-2127-4612,24시간 개방
공중화장실,신이문역5번출입구,서울특별시 동대문구 외대역동로27길 79,서울특별시 동대문구 이문동 171-19,02-2127-4612,24시간 개방
