축제명,축제유형,개최기간,개최장소,개최방식,담당자,연락처
영도다리축제,문화예술,10월중,아미르공원,대면,류세진,051-419-4064
영도커피페스티벌,문화예술,5.24.~5.26.,아미르공원,대면,곽지향,051-419-6332
"전포커피축제
(구. 전포카페거리축제)",기타,10월중 ,전포카페거리 일원,대면,김지영,051-605-4524
서면메디컬스트리트축제 ,기타,10월중 ,서면 메디컬스트리트일원,대면,송지원,051-605-4521
서면 빛 축제 ,주민화합,24.10.~25.1.,서면1번가 일원,대면,이지현,051-605-4522
동래읍성역사축제,전통역사,10.11.~10.13.,"동래문화회관, 동래읍성광장,
온천천카페거리,
온천장 등",대면,문대혁,051-550-4094
동래 3.1만세운동재현행사,문화예술,3.1.,내성초 및 동래시장 일원 만세거리,대면,최원영,051-550-4092
UN평화축제,문화예술,10.19.~10.20.,평화공원 일원,대면,강경희,051-607-4064
구포장터 3.1만세운동기념행사,문화예술,3.29.,구포역 광장 등,대면,석창대,051-309-4066
낙동강 구포나루 축제,문화예술,10월중(3일간),화명생태공원 연꽃단지 일원,대면,민찬영,051-309-4522
해운대 달맞이온천축제,전통역사,2.22.~2.24.,해운대해수욕장 일원 ,대면,전정희,051-749-4061
해운대모래축제,생태자연,5.24.~5.27.,해운대해수욕장 일원 ,대면,이은영,051-749-4062
해운대 해양레저축제,문화예술,8.24.~8.25.,송정해수욕장 일원,대면,김광진,051-749-5602
해운대 빛축제,문화예술,12월중,"해운대해수욕장, 구남로, 온천길, 시장길 일원 ",대면,이은영,051-749-4062
"해운대 카운트다운
&해맞이축제",기타,"24.12.31.
~25.1.1.",해운대해수욕장 일원 ,대면,이은영,051-749-4062
다대포어항문화축제,전통역사,10월중,다대포항 공판장 일원,대면,권오현,051-220-4502
감천문화마을골목축제,문화예술,10월중,감천문화마을 일원,대면,이승현,051-220-5925
금정산성축제,문화예술,5.24.~5.26.,금정산성광장 및 금정산 일원,혼합형,손민정,051-519-4062
 부산국제공연예술제,문화예술,9월중,부산대학로 및 금정구 일원,혼합형,신재훈,051-519-4066
회동호 가을빛 축제,문화예술,10월중,회동호 일원,혼합형,손민정,051-519-4062
라라라 페스티벌,기타,10월중,온천천,혼합형,박영주,051-519-4424
연제고분판타지축제,전통역사,3.22.~3.24.,"온천천시민공원, 연산동 고분군",대면,정의창,051-665-4064
강서 낙동강30리 벚꽃축제,생태자연,"3.29.~3.31.
(예정)",대저생태공원 일원,대면,전병대,051-970-4062
명지시장 전어축제,특산물,8월말,명지시장 일원,대면,박춘선,051-970-4472
대저토마토축제,특산물,3.23.~3.24.,강서체육공원,대면,김지영,051-970-4814
광안리어방축제,전통역사,5.10.~5.12.,광안리해변 및 수영사적공원 일원,대면,백승진,051-610-4062
사상강변축제,문화예술,"10월중
(2일간)",삼락생태공원 일원,대면,최윤정,051-310-4062
삼락벚꽃축제,문화예술,3.30.~31.,"삼락생태공원 일원, 낙동제방",대면,여가연,051-310-4064
기장멸치축제,특산물,4월중,대변항 일원,대면,하정훈,051-709-4502
기장미역다시마 축제,특산물,4월중,이동항 일원,대면,허민정,051-709-4612
정관생태하천학습문화축제,문화예술,6월중(하루),"정관읍 좌광천 일원, 중앙공원,윗골공원,구목정공원",대면,허윤정,051-709-4332
기장갯마을축제,주민화합,7~8월중,일광해수욕장,대면,배은미,051-709-4065
기장붕장어축제,특산물,9~10월중,신암항 일원,대면,김성민,051-709-4524
차성문화제,문화예술,10월중,기장현대차드림볼파크(미정),대면,정미옥,051-709-4062
철마한우불고기축제,특산물,"10월중
(예정)",철마도시 농업공원,대면,이희영,051-709-2893
기장군 가을꽃나들이 홍보행사,특산물,"10.17.~10.20.
(예정)",정관 중앙공원 일원,대면,김송희,051-709-4404
기장 쪽파파전 홍보행사,특산물,"11.9.~11.10.
(예정)",장안읍 일원,대면,박수란,051-709-4405
제46회 대구약령시한방문화축제,전통역사,05.08.~05.12.,대구약령시 일원,대면,김석현,053-803-6452
파워풀대구페스티벌,문화예술,05.11.~05.12.,국채보상로 일원,대면,류혜숙,053-803-3785
대구생활문화제 ,문화예술,05.11.~05.12.,생활문화센터 등 대구 일원,대면,조현숙,053-803-3738
형형색색 달구벌 관등놀이,전통역사,5월경,대구 전역,혼합형,박정남,053-803-3755
제18회 대구국제뮤지컬페스티벌,문화예술,06.21.~07.08.,대구오페라하우스 및 공연장,대면,김대영,053-803-3791
대구치맥페스티벌,기타(산업육성),7월초(5일간),두류공원,대면,최정애,053-803-3462
제21회 대구국제오페라축제,문화예술,10.04.~11.08.,대구오페라하우스 및 대구 일원,대면,김영진,053-803-3792
대구콘텐츠페어,기타(산업육성),10.11.~10.12.,엑스코,혼합형,김헌미,053-803-3801
팔공산 산중전통장터 승시 축제,전통역사,10월중,동화사,대면,장준,053-803-6513
대구포크페스티벌,문화예술,10월중,코오롱야외음악당,혼합형,이혜진,053-803-3746
월드오케스트라페스티벌,문화예술,10~11월중,대구콘서트하우스,대면,이혜진,053-803-3746
제35회 동성로축제,기타,05.10.~05.12.,동성로 일원,대면,김보경,053-661-2174
대구 문화유산 야행,문화예술,08.30.~08.31.(예정),경상감영,대면,정은주,053-661-2195
제11회 대구스트리트모터페스티벌,기타,9월중,남산동 자동차골목 일원,대면,차영미,053-661-3014
제19회 패션주얼리위크,문화예술,9월중,대구패션주얼리특구 일원(교동~동성로 일대),대면,황보람,053-661-2645
서문시장글로벌대축제,전통역사,10월중,서문시장 일대,혼합형,이태현,053-661-2675
교동시장한마음축제,전통역사,10월중,교동시장 일대,혼합형,이태현,053-661-2675
김광석길페스티벌,문화예술,10월중,김광석거리 일원,대면,김보경,053-661-2174
대구화교중화문화축제,문화예술,10월중,"대구화교소학교, 종로거리 일원",대면,김보경,053-661-2174
제13회 팔공산 벚꽃축제,생태자연,4월중,팔공산 동화지구,대면,김세미,053-662-4073
제23회 팔공산 단풍축제,생태자연,10월중,팔공산 갓바위지구,대면,김세미,053-662-4073
"달구벌목민관 부임
마을축제",전통역사,10월중,"서구일대 
북비산네거리",대면,김수현,053-663-2184
제29회 대덕제 「대구앞산축제」,문화예술,05.25.~05.26.,남구구민체육광장 일원,대면,김지혜,053-664-3262
제12회 로드페스티벌,문화예술,6월 예정,대명공연거리,대면,이지은,053-664-3263
2024 대구할로윈축제,문화예술,10월 예정,안지랑곱창골목,대면,김지혜,053-664-3262
제4회 떡볶이 페스티벌,문화예술,5월중,DGB대구은행파크,대면,이효영,053-665-2793
2024 금호강 바람소리길 축제,문화예술,9~10월중,금호강 산격대교 하단,대면,이미경,053-665-2172
수성못페스티벌,문화예술,09.22.~09.24.,수성못,대면,구혜련,053-666-2163
장미꽃 필 무렵,생태자연,05.17.~05.19.,이곡장미공원 등,대면,서준혁,053-667-2174
선사문화체험축제,전통역사,5월중,한샘청동공원 등,대면,김도균,053-667-2194
희망달서 대축제,기타(주민화합),10월중,달서아트센터 일원,대면,서준혁,053-667-2174
제28회 비슬산 참꽃 문화제,문화예술,4월중(2일),비슬산 일원,대면,이수권,053-668-2172
2024 yes! 키즈존,문화예술,"5월, 10월중(각1일)","강정보 디아크 광장, 국립대구과학관",대면,이수권,053-668-2172
송도 바람축제,문화예술,5월 중,송도 달빛축제공원 일원,대면,진정미,032-453-7093
청라 페스티벌,문화예술,5월 중,청라 호수공원 일원,대면,진정미,032-453-7093
영종 세계음식축제,문화예술,9월 중,영종 씨사이드파크 일원,대면,진정미,032-453-7093
청라 와인페스티벌,문화예술,10월 중,청라 호수공원 일원,대면,진정미,032-453-7093
2024년 인천대공원 벚꽃축제,문화예술,4. 6. ~ 4. 7.(예정),인천대공원,대면,함창환,032-440-5814
제4회 인천도시재생축제,기타,10월 중 (협의중),동구 일원,대면,이현선,032-260-5374
인천펜타포트음악축제,문화예술,5월~9월,송도달빛축제공원 등 인천전역,대면,김명훈,032-899-7423
INK콘서트,문화예술,9월,인천문학경기장,대면,설경호,032-899-7421
동인천 낭만축제,주민화합,10월,동인천역 북광장,대면,김상윤,032-899-7422
(가제) 상플 1·8부두 야시장,주민화합,6월 예정,상상플랫폼,대면,천나혜,032-899-7427
인천개항장문화재야행,전통역사,"6월, 10월",중구 개항장 일대,대면,강상규,032-899-7424
연안부두축제,문화예술,10월중,인천종합어시장,대면,조윤영,032-760-6445
2024 가족의달 어린이축제,문화예술,5. 4. ~ 5.,송월동 동화마을 일원 / 영종역사관 일원,대면,정예슬,070-4123-8950
2024 자유공원축제,문화예술,5월,자유공원일원,대면,최지훈,070-4123-8949
2024 동인천고고축제,문화예술,5월,학생문화회관 일원,대면,윤태석,070-4123-8945
2024 크리스마스 트리축제,문화예술,11월~2025년 1월,신포문화의거리 / 영종국제도시 일원,대면,윤태석,070-4123-8945
제35회 화도진축제,"전통역사, 문화예술",5월 중,"화도진공원, 동인천역북광장 일원",대면,권중혁,032-770-6923
화수부두 축제,"특산물, 기타",10월 중,화수부두 일원,대면,권중혁,032-770-6923
2024. 수봉산 문화공연,기타(주민화합 등),4월 중,수봉공원 정상부(예정),대면,심주희,032-880-7427
제4회 수봉산페스티벌,기타(주민화합 등),9월 중,수봉공원 인공폭포(예정),대면,심주희,032-880-7427
제21회 미추홀미디어문화축제,기타(주민화합 등),9월 중 ,주안역 남광장(예정),대면,조봄,032-880-7978
크리스마스트리 축제,기타(주민화합 등),12월 중,미추홀구 관내(예정),대면,조봄,032-880-7978
제12회 연수 능허대 문화축제,기타,미정,관내공원,대면,김영애,032-749-7332
제5회 新송도해변축제,기타,미정,관내공원,대면,정소윤,032-749-7333
제24회 소래포구축제,생태자연,9~10월중,소래포구 일원,대면,김미진,032-453-2142
주민자치 축제 한마당,기타(주민화합),9~10월중,만수동 일원(예정),대면,김대혁,032-453-2203
2024년 제28회 부평풍물대축제,문화예술,09.27.~09.29.,부평대로 등 부평일원,대면,손기우,032-509-6425
정서진 해넘이 행사,기타,12.1.~12.31.,정서진,대면,이가영,032-560-5933
"크리스마스트리 문화행사
정서진 with 크리스마스",기타,12.1.~12.31.,정서진,대면,이가영,032-560-5933
고려산 진달래꽃구경,생태자연,4월중,강화군 고려산일원,대면,현혜선,032-930-3622
삼랑성역사문화축제,전통역사,10월중,전등사 일원,대면,최준용,032-930-3578
"강화 와글와글 원도심 
활성화 행사",기타,"5월, 10월중",강화읍 일원,대면,구윤자,032-930-3566
강화문화재야행,전통역사,9월중,강화읍 일원,대면,구윤자,032-930-3566
강화 화개정원 축제,생태자연,10월 중,화개정원 일원,대면,이예지,032-930-3562
연평꽃게걷기축제,특산물,06.10.~06.11.,연평면 일원,대면,정종혁,032-899-2262
영흥풍어기원제,전통역사,03.04.,영흥면 일원,대면,정종혁,032-899-2262
섬마을밴드음악축제,문화예술,10.01.,옹진군 일원,대면,정종혁,032-899-2262
"제8회 옹진군수배
전국바다낚시대회",기타,4. 19.(예상),영흥면 진두항,대면,김성웅,032-899-2714
"영흥수협 수산물 
소비축제 지원",특산물,9. 28.~29.(예상),영흥면 진두항,대면,정진화,032-899-2713
제12회 장봉도 벚꽃축제,생태자연,4.13.(변경가능),옹암해수욕장 일원,대면,김주한,032-899-3414
아트피크닉,문화예술,4월~11월(예정),"시청 야외광장, 중외공원 등",대면,서수현,062-613-3432
대인예술시장,문화예술,5월~12월(예정),대인예술시장내,대면,마경덕,062-613-3433
제12회 도서관문화마당,문화예술,05.10.~05.11.,시청 시민광장,대면,정소라,062-613-7733
제16회 세계인의 날 기념행사,기타(주민화합 등),05.20.,미정,대면,이창열,062-613-1443
2024 광주스트릿컬처 페스타,문화예술,06.06~06.09,국립아시아문화전당 일원,대면,김보예,062-613-3644
2024 광주청년주간,문화예술,9월중,미정,대면,박지혜,062-613-2721
광주국제미술전람회 '아트광주24',문화예술,09.26.~09.29.,김대중컨켄션센터 외,대면,최수연,062-613-3429
제15회 광주비엔날레,문화예술,09.07.~12.01.,광주비엔날레전시관 및 광주 전역,대면,송지연,062-613-3431
2024 프린지페스티벌,문화예술,09.27.~09.29.,5·18민주광장 일원,대면,장기혜,062-613-3182
제31회 광주김치축제,전통역사,10월중(예정),광주광역시 일원,대면,이화영,062-613-3992
제21회 광주 추억의 충장축제,문화예술,10.02.~10.06.,"5․18민주광장 및 국립아시아문화전당, 충장로, 금남로, 예술의 거리 등 광주 일원",대면,김시원,062)608-4674
제3회 광주 버스킹 월드컵,문화예술,10.02.~10.06.,"5.18민주광장, ACC하늘마당 등",혼합형,박석주,070-4400-6554
2024 광주 문화유산 야행 '돌의 기억',문화예술,04.26.~04.27.,5.18민주광장,대면,곽희선,062-608-2403
제4회 동명동 커피산책,문화예술,10~12월 중(미정),동명동 카페거리 일원,대면,최형호,062-608-2372
2024 무등산인문축제,문화예술,06.01.~06.02.,무등산 국립공원 증심사지구 일원,대면,이정아,062-608-2173
2024 양림&크리스마스 문화축제,문화예술,12.01.~12.31,양림동 일원,대면,임소화,062-607-2316
제41회 고싸움놀이축제,문화예술,02.23. ~ 02.25.,고싸움놀이테마파크 일원,대면,김채원,062-607-2315
인문학축제 제13회 굿모닝양림,문화예술,10월중(약2주간),양림동 일원,대면,김민아,062-607-2312
제9회 광주서창억새축제,생태자연,10월 초,영산강변,대면,김성환,062-350-4792
제2회 양동통맥축제,기타(주민화합 등),"4월 / 3~4주 금,토 ",양동전통시장 일원,대면,이정민,062-360-7683
제2회 광산뮤직ON페스티벌,문화예술,05.04.~05.05.,황룡친수공원 일원,대면,전동익,062-960-6854
대청호 봄축제(가칭),생태자연,03.29.~03.31.,벚꽃한터 및 충암누리길 일원,대면,변승연,042-251-6683
2024년 상소캠핑요리축제,기타,5.18.~5.19.,상소오토캠핑장,대면,양선영,042-251-4662
"문화재 야행 「밤하늘, 달콤한 문화산책」",문화예술,5.24~5.25.,"목척교 수변공원, 동구 문화유산 5개소",대면,민덕선,042-251-4202
2024 대전 0시 축제,문화예술,8.9.~8.17.,중앙로(대전역~옛 충남도청) 일원 1km구간,대면,심상욱,042-270-3977
대전 동구동락 축제,문화예술,10월중,소제동 및 대동천 일원,대면,이재일,042-251-6673
인쇄UP 아트페스티벌,문화예술,9~10월중,동구 인쇄특화거리,대면,이지수,042-251-4205
제15회 대전효문화뿌리축제,전통역사,9월~10월중,뿌리공원 및 원도심 일원,대면,강희일,042-606-6292
2024 대전 서구 아트페스티벌,문화예술,10.11.~10.13.(예정),샘머리공원 및 보라매공원 일원,대면,안태현,042-288-2742
제14회 녹색체험여행,생태자연,10.04.~10.05.(예정),흑석동 노루벌 일원,대면,이수진,042-288-2152
2024 유성온천문화축제,문화예술,05.10.~05.12.,유성구 온천로 일원,대면,심유리,042-611-2080
2024 유성재즈&맥주 페스타,문화예술,08.23.~08.25.,유성구 유림공원,대면,심유리,042-611-2080
2024 유성온천 크리스마스축제,문화예술,12.06~12.08.,유성구 온천로 일원,대면,심유리,042-611-2080
2024 대전 K-힙합페스티벌,문화예술,미정,대흥동 우리들공원 일원,대면,조아정,042-270-3976
2024 대한민국 과학축제,문화예술,4.26.~4.28.,"엑스포시민광장, 엑스포과학공원, e스포츠경기장",대면,이용윤,042-270-0312
2024 대전사이언스페스티벌,문화예술,10.18.~10.20.,"대전컨벤션센터, 엑스포시민광장, 엑스포과학공원",대면,이용윤,042-270-0313
2024 대덕물빛축제,문화예술,03.29.~05.06.,대청공원,대면,현수영,042-608-6732
제27회 동춘당문화제,전통역사,4.27,동춘당공원일원,대면,노승민,042-608-6574
2024 대덕거리 맥주페스티벌,문화예술,2024.5월 중(미정),미정,대면,김용성,042-608-6923
제13회 김호연재 여성문화축제,전통역사,9월중,동춘당공원일원,대면,노승민,042-608-6574
2024년 제8회 장동계족산 코스모스축제,생태자연,9월~10월중,대덕구 장동 만남공원 일원,대면,전수은,042-608-6945
2024 울산공업축제,기타(주민화합 등),10.10.~10.13.,울산 관내 전역,대면,노혜영,052-229-2722
울산태화강 대숲납량축제,기타,08.11.~08.14.,태화강 국가정원,대면,이영주,052-229-3755
울산서머페스티벌,문화예술,8월 중,5개 구군,대면,신정은,052-229-3752
아시아 퍼시픽 뮤직 페스티벌,문화예술,9월 중,문화예술회관,대면,배은아,052-229-3754
울산 추억 감성 대향연,기타(주민화합 등),10월 중,태화강국가정원 남구 둔치,대면,최봉섭,052-229-4822
제16회 울산대공원 장미축제,생태자연,05.22.~05.26,울산대공원 남문일원,대면,김정미,052-229-3343
태화강국가정원 봄꽃축제,생태자연,05.17.~05.19.,태화강국가정원,대면,김현,052-229-7562
태화강국가정원 가을축제,생태자연,10.25.~10.27.,태화강국가정원,대면,김현,052-229-7562
태화강 억새나들이,생태자연,10.21.~10.22.,태화강 명촌 억새군락지,대면,이영,052-229-8522
정원생태문화축제,생태자연,4월 중,태화강국가정원 야외공연장,대면,김영준,052-229-8533
119안전문화축제,문화예술,06.28.~06.29.,UECO(울산전시컨벤션센터),혼합형,김정식,052-229-5331
태화강마두희축제,전통역사,6월 중순,중구 원도심 일원,대면,심명희,052-290-3662
눈꽃축제,기타(주민화합 등),12월 중,중구 원도심 일원,대면,배소혜,052-290-3324
태화강국제재즈음악제,문화예술,5월 중,태화강 국가정원 야외공연장,대면,최수진,052-290-3663
반려동물 축제,생태자연,5월 중,문수국제양궁장 및 애견운동공원 일원,대면,김향미,052-226-5261
2024 삼호 버드페스티벌,생태자연,11.09.~11.10.,태화강국가정원 삼호철새공원 일원,대면,안지연,052-226-4902
2024 울산 남구 청년 페스타,문화예술,9월 중,삼호철새공원,대면,박수진,052-226-3272
궁거랑 벚꽃 한마당,"기타(문화,관광)",3월 중,무거생태하천일원,대면,이현서,052-226-5412
남구강변영화제,문화예술,8월 중,태화강둔치,대면,정성연,052-226-5413
태화강 빛 축제,문화예술,9월 중,태화강둔치,대면,정성연,052-226-5413
그린 차박 페스티벌 in 울산,기타(관광),04.26.~04.28.,장생포 (구)미포조선 부지,대면,박정용,052-226-3404
장생포 수국페스티벌,기타(관광),6월 중,고래문화마을 일원,대면,안휘림,052-226-5372
장생포 한여름 밤의 호러페스티벌,기타(관광),8월 중,고래문화마을 일원,대면,안휘림,052-226-5372
