,주소,우편번호,전화번호,주차장 운영시간,주차장 이용료
18,부산광역시 강서구 체육공원로26번길 148(대저1동),467-03,0517945070,09:00~18:00,무료
19,"부산광역시 기장군 기장읍 대청로35번길 671,2층",460-70,0517945040,09:00~18:00,무료
20,울산광역시 중구 함월10길 6(성안동852-4),444-25,052-706-5220,09:00~18:00,무료
21,"울산광역시 중구 함월10길 6(성안동) 1,2층",444-25,052)706-5260,09:00~18:00,무료
22,인천광역시 남동구 인주대로551번길 42,215-59,032-713-2500,09:00~18:00,무료
23,인천광역시 중구 제물량로 98(신흥동1가 4-15),223-20,032-713-2600,09:00~18:00,무료
24,인천광역시 남동구 인하로 545407호,215-77,032-713-2500,09:00~18:00,무료
25,인천광역시 계양구 장제로 805(계산동),210-58,032-713-2849,09:00~18:00,무료
26,인천광역시 강화군 강화읍 강화대로 372-8(관청리 115-2),230-36,032-713-2800,09:00~18:00,무료
27,경기 수원시 팔달구 인계동1116,442835,031-250-0923,09:00~18:00,무료
28,경기도 용인시 기흥구 구갈로60번길 5반석빌딩 4층,169-72,031-275-4450,09:00~18:00,무료
29,경기도 성남시 분당구 서현로210번길 2성지하이츠텔 505호,135-91,031-5178-3250,09:00~18:00,무료
30,경기도 부천시 원미구 부천로136번길 59(원미동),145-67,032-713-2670,09:00~18:00,무료
31,경기도 화성시 남양읍 역골로 8(남양리 2070-4),182-71,031-8077-0600,09:00~18:00,무료
32,경기도 화성시 병점동로 78유진클라우스빌딩 203호,184-03,031-8014-5300,09:00~18:00,무료
33,경기도 안산시 단원구 광덕대로 264한양증권빌딩 402호,153-52,031-8099-8830,09:00~18:00,무료
34,경기도 의왕시 왕곡로 4(왕곡동),160-69,031-463-8500,09:00~18:00,무료
35,경기도 평택시 고덕갈평로 50,180-08,031-8098-8960,09:00~18:00,무료
36,경기도 시흥시 새재로 41(장현동527-2),149-98,031-8099-8860,09:00~18:00,무료
37,경기도 광주시 이배재로 16(탄벌동11-5),127-46,031-8027-3600,09:00~18:00,무료
38,경기도 하남시 하남대로 788(신장동 565-3),129-49,031-8027-3670,09:00~18:00,무료
39,"경기도 오산시 성호대로 94(원동 753-1), 3층",181-38,031-8077-0670,09:00~18:00,무료
40,경기도 이천시 부악로 45(중리동 487외1),173-80,031-8011-2700,09:00~18:00,무료
41,경기도 안성시 보개원삼로 47(가사동),175-85,031-8046-5800,09:00~18:00,무료
42,경기도 여주시 여흥로160번길 50,126-30,031-884-2291,09:00~18:00,무료
43,경기도 남양주시 화도읍 창현리 456-1,12182,031-8066-7088,09:00~18:00,무료
44,"경기도 고양시 일산동구 위시티로 24,3층",103-24,031-995-2430,09:00~18:00,무료
45,경기도 남양주시 경춘로1015번길 5(금곡동 158-63),122-37,031-522-3940,09:00~18:00,무료
46,경기도 파주시 시청로 3-6(금촌동 947-44),109-28,031-934-2750,09:00~18:00,무료
47,경기도 의정부시 의정로84번길 10,116-23,031-951-3580,09:00~18:00,무료
48,경기도 김포시 사우중로11번길 25(사우동 253),101-09,031-8048-3200,09:00~18:00,무료
49,경기도 양주시 평화로 1305(산북동341-10),114-97,031-951-3500,09:00~18:00,무료
50,경기도 포천시 군내면 호국로 1521(구읍리 686-3),111-54,031-8089-2930,09:00~18:00,무료
51,경기도 연천군 연천읍 문화로 48-20(옥산리),110-12,031-834-1325,09:00~18:00,무료
52,경기도 양평군 양평읍 양근로 127,125-53,031-770-7300,09:00~18:00,무료
53,경기도 가평군 가평읍 석봉로 158,124-18,031-8078-3400,09:00~18:00,무료
54,강원도 춘천시 후석로 303,242-82,033-815-8600,09:00~18:00,무료
55,"강원도 춘천시 동내면 춘천순환로 156, 4층",243-99,033-815-8650,09:00~18:00,무료
56,강원도 원주시 시청로 2,263-87,033-810-8000,09:00~18:00,무료
57,강원도 강릉시 동해대로 3314,254-63,033-820-8100,09:00~18:00,무료
58,강원도 양양군 양양읍 관아길 11,250-21,033-851-8270,09:00~18:00,무료
59,강원도 삼척시 사대안2길 14,259-21,033-803-8200,09:00~18:00,무료
60,강원도 홍천군 홍천읍 희망로13길 24남양빌딩 1층 ,251-23,033-831-8430,09:00~18:00,무료
61,강원도 횡성군 횡성읍 태기로 61,252-25,033-809-8540,09:00~18:00,무료
62,강원도 영월군 영월읍 하송로 17,262-34,033-834-5570,09:00~18:00,무료
63,강원도 평창군 평창읍 송학로 55,253-74,033-833-8400,09:00~18:00,무료
64,강원도 정선군 정선읍 비봉로 2-2,261-31,033-805-8360,09:00~18:00,무료
65,강원도 철원군 갈말읍 명성로 194,240-34,033-837-8380,09:00~18:00,무료
66,강원도 화천군 화천읍 산수화로 48,241-18,033-857-8470,09:00~18:00,무료
67,강원도 양구군 양구읍 비봉로73번길 7-4,245-27,033-855-8300,09:00~18:00,무료
68,강원도 인제군 인제읍 인제로 129,246-25,033-853-8340,09:00~18:00,무료
69,충청북도 청주시 서원구 예체로 149(사창동 242-1),285-64,043-710-4200,09:00~18:00,무료
70,충청북도 청주시 청원구 향군로 31(우암동 347-6),285-39,043-710-4315,09:00~18:00,무료
71,충청북도 충주시 칠금11길 46(칠금동622),273-54,043-720-4700,09:00~18:00,무료
72,충청북도 제천시 내토로 291-1(천남동 18-1),271-88,043-756-4800,09:00~18:00,무료
73,충청북도 청주시 청원구 향군로 31(우암동 347-6),285-39,043-710-4290,09:00~18:00,무료
74,충청북도 옥천군 옥천읍 중앙로1길 14,290-37,043-762-4850,09:00~18:00,무료
75,충청북도 영동군 영동읍 학산영동로 1198(부용리 53),291-52,043-770-6940,09:00~18:00,무료
76,충청북도 진천군 진천읍 문화로 163(읍내리 457-7),278-29,043-753-4900,09:00~18:00,무료
77,충청북도 괴산군 괴산읍 임꺽정로 152,280-27,043-760-4760,09:00~18:00,무료
78,충청북도 음성군 음성읍 중앙로 18(신천리 173),277-06,043-751-8500,09:00~18:00,무료
79,충청북도 단양군 단양읍 중앙1로 26,270-10,043-767-4930,09:00~18:00,무료
80,충청남도 홍성군 홍북면 충남대로 30,322-63,041-406-4009,09:00~18:00,무료
81,대전광역시 중구 대흥로10번길 41(대사동),349-46,042-718-4101,09:00~18:00,무료
82,대전광역시 서구 문정로48번길 12(탄방동),352-62,042-479-2140,09:00~18:00,무료
83,세종특별자치시 조치원읍 군청로 77(죽림리 106-3),300-38,044-865-3209,09:00~18:00,무료
84,충청남도 천안시 동남구 청수7로 24-66(청당동625),311-97,041-412-4150,09:00~18:00,무료
85,충청남도 공주시 봉황로 26(봉황동),325-51,041-400-4630,09:00~18:00,무료
86,충청남도 보령시 대청로 160,334-30,041-402-4400,09:00~18:00,무료
87,충청남도 아산시 충무로 801층(권곡동 540-17번지),315-15,041-422-8160,09:00~18:00,무료
88,충청남도 서산시 덕지천로 145-27(석림동),320-03,041-429-4330,09:00~18:00,무료
89,충청남도 논산시 관촉로 105,329-94,041-435-4600,09:00~18:00,무료
90,충청남도 당진시 대덕1로 51(대덕동),317-78,041-431-8050,09:00~18:00,무료
91,충청남도 금산군 금산읍 진산로 7,327-39,041-450-4500,09:00~18:00,무료
92,세종특별자치시 조치원읍 군청로 77(죽림리 106-3),300-38,041-865-3209,09:00~18:00,무료
93,충청남도 부여군 부여읍 계백로 251(229-1),331-53,041-408-4471,09:00~18:00,무료
94,충청남도 서천군 서천읍 군청로 49-1,336-43,041-453-4480,09:00~18:00,무료
95,충청남도 청양군 청양읍 칠갑산로7길 16-29.,333-26,041-456-4560,09:00~18:00,무료
96,충청남도 홍성군 홍북면 충남대로 30,322-63,041-406-4430,09:00~18:00,무료
97,충청남도 예산군 예산읍 향교길 3.,324-34,041-404-4530,09:00~18:00,무료
98,충청남도 태안군 태안읍 동백로 173,321-42,041-675-9000,09:00~18:00,무료
99,전라북도 전주시 덕진구 백제대로 730,549-16,063-240-2700,09:00~18:00,무료
100,전라북도 전주시 완산구 견훤왕궁로 19,550-32,063-712-3100,09:00~18:00,무료
101,전라북도 군산시 양안로 18,540-78,063-730-3130,09:00~18:00,무료
102,전라북도 익산시 송학동 고현로 1,546-64,063-720-5920,09:00~18:00,무료
103,전라북도 정읍시 명륜길 15-3525-16,561-61,063-700-6000,09:00~18:00,무료
104,전라북도 남원시 의총로 158.,557-41,063-772-6040,09:00~18:00,무료
105,전라북도 김제시 전초암길 7,543-72,063-770-3160,09:00~18:00,무료
106,전라북도 완주군 용진읍 지암로 73,553-52,063-712-3070,09:00~18:00,무료
107,전라북도 진안군 진안읍 성산2길 21-11,554-33,063-786-5981,09:00~18:00,무료
108,전라북도 무주군 무주읍 신교로3길 111423-4,555-20,063-780-3760,09:00~18:00,무료
109,전라북도 임실군 임실읍 호국로 1775이도리,559-27,063-644-0321,09:00~18:00,무료
110,전라북도 고창군 고창읍 성산로 50(읍내리681-233),564-33,063-774-3721,09:00~18:00,무료
111,전라북도 부안군 부안읍 용계길 30,563-07,063-777-3740,09:00~18:00,무료
112,광주광역시 서구 상무중앙로 102,619-47,062-714-6804,09:00~18:00,무료
113,광주광역시 북구 금호로 50,611-14,062-714-6860,09:00~18:00,무료
114,전라남도 목포시 하당로 288(옥암동),586-63,061-800-6100,09:00~18:00,무료
115,전라남도 여수시 웅천동 웅천북1로 12(웅천동),596-93,061-805-6200,09:00~18:00,무료
116,전라남도 순천시 대석길 491477-3,579-86,061-804-6360,09:00~18:00,무료
117,전라남도 나주시 재신길 32,582-62,061-820-6330,09:00~18:00,무료
118,전라남도 광양시 중마중앙로 115(중동1314-4),577-85,061-815-6300,09:00~18:00,무료
119,전라남도 담양군 담양읍 삼거리길 29,573-47,061-882-6070,09:00~18:00,무료
120,전라남도 곡성군 곡성읍 학교로 124읍내리440-1,575-35,061-884-6230,09:00~18:00,무료
121,전라남도 고흥군 고흥읍 신계학림길 47(남계리),595-35,061-874-6400,09:00~18:00,무료
122,전라남도 보성군 보성읍 송재로 221,594-53,061)888-6450,09:00~18:00,무료
123,전라남도 화순군 화순읍 동헌길 9-5.,581-12,061-871-8570,09:00~18:00,무료
124,전라남도 장흥군 장흥읍 동부로 21,593-23,061-890-6170,09:00~18:00,무료
125,전라남도 해남군 해남읍 남부순환로 902층,590-43,061-880-2470,09:00~18:00,무료
126,전라남도 영암군 영암읍 열무정로 11,584-16,061-812-6500,09:00~18:00,무료
127,전라남도 무안군 무안읍 공항로 30,585-20,061-876-6720,09:00~18:00,무료
128,전라남도 함평군 함평읍 중앙길 235,571-50,061-894-6970,09:00~18:00,무료
129,전라남도 영광군 영광읍 천년로11길 51,570-40,061-872-4870,09:00~18:00,무료
130,전라남도 장성군 장성읍 영천로 226-5(영천리796-7),572-19,061-8786540,09:00~18:00,무료
131,전라남도 완도군 완도읍 개포로 11-19,591-20,061-886-6520,09:00~18:00,무료
132,전라남도 신안군 압해읍 압해로 821,588-24,061-800-6120,09:00~18:00,무료
133,대구광역시 달서구 이곡동로 8,426-20,053-714-7851,09:00~18:00,무료
134,"대구광역시 수성구 달구벌대로 2348(수성동3가, 수협G타워) 10층",421-15,053-714-7860,09:00~18:00,무료
135,대구광역시 북구 팔거천동로 90(동천동),414-31,053-714-7919,09:00~18:00,무료
136,대구광역시 달성군 화원읍 비슬로 2597유풍빌딩6층,429-55,053-714-7931,09:00~18:00,무료
137,경상북도 포항시 남구 대이로19번길 6(대잠동),376-85,054-720-7500,09:00~18:00,무료
138,경상북도 경주시 양정로 342,380-95,054-702-7200,09:00~18:00,무료
139,경상북도 김천시 삼락택지길 28(삼락동 1186),395-19,054-811-8800,09:00~18:00,무료
140,경상북도 안동시 제비원로 351-5(안기동),366-26,054-806-7400,09:00~18:00,무료
141,경상북도 구미시 송원동로 11-14(송정동),392-81,054-712-7250,09:00~18:00,무료
142,경상북도 영주시 목민로 16(휴천동),361-29,054-709-7430,09:00~18:00,무료
143,경상북도 영천시 중앙동1길 67(문외동),388-38,054-707-7460,09:00~18:00,무료
144,경상북도 상주시 경상대로 3053,371-65,054-501-7320,09:00~18:00,무료
145,경상북도 문경시 매봉1길 63(모전동),369-77,054-505-7300,09:00~18:00,무료
146,경상북도 경산시 장산로25길 48,386-32,053-714-7960,09:00~18:00,무료
147,대구광역시 군위군 군위읍 동서1길 13(서부리30-11),43114,054-521-7560,09:00~18:00,무료
148,경상북도 의성군 의성읍 동서1길 8후죽리 645-1번지,373-38,054-511-7720,09:00~18:00,무료
149,경상북도 청송군 청송읍 군청로 78.,374-29,054-519-7780,09:00~18:00,무료
150,경상북도 영덕군 영덕읍 덕곡천길 74(덕곡리),364-31,054-513-7630,09:00~18:00,무료
151,경상북도 청도군 청도읍 고수서4길 22,383-44,054-517-7750,09:00~18:00,무료
152,"경상북도 고령군 대가야읍 대가야로 1256(지산리, 295-1)",401-40,054-507-7540,09:00~18:00,무료
153,경상북도 성주군 성주읍 성주순환로 68,400-21,054)509-7600,09:00~18:00,무료
154,경상북도 칠곡군 왜관읍 석전로10길 122(왜관리),398-81,054-801-7350,09:00~18:00,무료
155,경상북도 예천군 예천읍 충효로 2412층,368-29,054-523-7670,09:00~18:00,무료
156,경상북도 울진군 울진읍 읍내로 62(읍내리 47-2),363-25,054-503-7700,09:00~18:00,무료
157,경상북도 울릉군 울릉읍 행남길 10-1,402-22,054-527-7690,09:00~18:00,무료
158,경상남도 창원시 성산구 신월동 창이대로532번길 6,514-39,055-250-5301,09:00~18:00,무료
159,경상남도 창원시 마산회원구 3·15대로 656,513-16,055-717-5430,09:00~18:00,무료
160,경상남도 진주시 충무공동 영천강로177번길 29충무공동,528-51,055-790-5600,09:00~18:00,무료
161,경상남도 통영시 안개2길 16.,530-37,055-725-5630,09:00~18:00,무료
162,경상남도 사천시 용현면 시청2길 86,525-39,055-786-4950,09:00~18:00,무료
163,경상남도 김해시 김해대로2415번길 8-25,509-24,055-722-5460,09:00~18:00,무료
164,경상남도 밀양시 중앙로 76,504-45,055-802-5530,09:00~18:00,무료
165,경상남도 거제시 고현로2길 6,532-54,055-730-5500,09:00~18:00,무료
166,경상남도 양산시 옥곡2길 10-7(남부동 470-9),506-23,055-781-6560,09:00~18:00,무료
167,경상남도 의령군 의령읍 의병로17길 12(서동리 417-1),521-40,055-817-5750,09:00~18:00,무료
168,경상남도 함안군 가야읍 함안대로 464(광정리 304번지),520-50,055-800-5850,09:00~18:00,무료
169,경상남도 창녕군 창녕읍 군청길 8,503-17,055-806-5770,09:00~18:00,무료
170,경상남도 고성군 고성읍 남포로 55(수남리 527-9),529-35,055-804-5670,09:00~18:00,무료
171,경상남도 남해군 남해읍 망운로61번길 53남해지사,524-26,055-812-2970,09:00~18:00,무료
172,경상남도 하동군 하동읍 송림1길 7(광평리 273-1),523-32,055-810-5800,09:00~18:00,무료
173,경상남도 산청군 산청읍 웅석봉로62번길 8(옥산리 252),522-26,055-822-5700,09:00~18:00,무료
174,경상남도 함양군 함양읍 함양남서로 1219(백연리460-4),500-43,055-820-5880,09:00~18:00,무료
175,경상남도 거창군 거창읍 중앙로 4,501-40,055-808-5650,09:00~18:00,무료
176,경상남도 합천군 합천읍 동서로 141-4351-6,502-31,055-816-8770,09:00~18:00,무료
177,제주특별자치도 제주시 신대로 118층,631-23,064-909-3300,09:00~18:00,무료
178,제주특별자치도 서귀포시 서호중로 71,635-68,064-801-6730,09:00~18:00,무료
